url,review_rating,review_title,review_body
https://www.amazon.in/Colgate-Plax-Fresh-Mint-Mouthwash/product-reviews/B00I6F78H4/ref=cm_cr_getr_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&sortBy=helpful&pageNumber=1,5,Good,Good
,4,Mouthwash,Nice and effective
,5,Solution of oral problem,It is solution of almost all oral problem.i was facing lot of oral problem before its using but now all problem have been vanished.
,5,Good,Good
,3,Good product..,Awsm
,4,Good mouthwash,"I have tried many mouthwash some of them were good and few were averagebut this is really good one from colgate,I was using Listerine from a long time and have decided to try another and I sticked to this one , working nice on teeth's ,It has reduced plaques in my teeth also soft on teeth's as it is alcohol free .It give freshness to mouth.Its cheap to buy on Amazon and delivery from Amazon is quick ,but this time I received a damaged bottle. Hope Amazon will soon improve there packingI recommend this to everyone"
,5,As expected,No specific comment
,5,Super,I like it
,5,Good,Good and keeps the mouth fresh for long.
,5,Good mouth wash,Nice flavour for daily use
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,Good paste,Freshness and good oral hygiene
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4,Cheap in sale,Quality is good with freshness but germs cleaning could have been better
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5,Original colgate past,Quick delivery in scheduled time. In this price quantities is so good.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,5,Good product,Good.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_5?ie=UTF8&reviewerType=all_reviews&pageNumber=5,5,Good,Best to market price
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_6?ie=UTF8&reviewerType=all_reviews&pageNumber=6,4,Good as always,"It's good toothpaste, but i would suggest you to go for Colgate Sensitive. That contains less harmful chemicals than this one varient."
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_7?ie=UTF8&reviewerType=all_reviews&pageNumber=7,5,My favorite,It is good for cavity and effective.
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_8?ie=UTF8&reviewerType=all_reviews&pageNumber=8,3,normal,the toothpaste is just like another normal colgate toothpaste and don't have any specialty and doesn't remove any bad breaths
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_9?ie=UTF8&reviewerType=all_reviews&pageNumber=9,5,Satisfied,Good toothpaste
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_10?ie=UTF8&reviewerType=all_reviews&pageNumber=10,5,Faster delivery good product,Faster delivery good product
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_11?ie=UTF8&reviewerType=all_reviews&pageNumber=11,--,,
https://www.amazon.in/Colgate-Health-Antibacterial-Toothpaste-Advanced/product-reviews/B092K383WY/ref=cm_cr_arp_d_paging_btm_next_12?ie=UTF8&reviewerType=all_reviews&pageNumber=12,--,,
,--,,
,--,,
,--,,
,--,,
,--,,
,--,,
,--,,
,--,,
,--,,
,,,
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,5,Superb quality product,Excellent productlike this
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_2?ie=UTF8&reviewerType=all_reviews&pageNumber=2,4,Good product,Value for money
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_3?ie=UTF8&reviewerType=all_reviews&pageNumber=3,5,Good,Good product
https://www.amazon.in/Sensodyne-toothpaste-sensitivity-protection-Recommended/product-reviews/B0CPT1X99T/ref=cm_cr_arp_d_paging_btm_next_4?ie=UTF8&reviewerType=all_reviews&pageNumber=4,5,amezing performence,itis not only paste medicine of teeth also
